time,rad2,rad3
199,0.003794285,0.015281928
200,0.00374446,0.02069015
201,0.003744854,0.020692327
202,0.00400332,0.024452786
203,0.004003742,0.02445536
204,0.004314569,0.02590373
205,0.004315477,0.025909183
206,0.004212975,0.026924288
207,0.004471653,0.028373527
208,0.004472124,0.028376513
209,0.004214305,0.031128249
210,0.004215192,0.031134802
211,0.00555982,0.034032413
212,0.005560405,0.034035994
213,0.003439463,0.036500278
214,0.003439825,0.03650412
215,0.003906991,0.039552454
216,0.003907403,0.039556617
217,0.003441274,0.043036541
218,0.003958961,0.046082681
219,0.003959794,0.046092381
220,0.004064989,0.047546076
221,0.004065417,0.04755108
222,0.004221407,0.054222167
223,0.004221852,0.054227873
224,0.003911517,0.057283461
225,0.003911929,0.05728949
226,0.003600724,0.061645252
227,0.003601103,0.06165174
228,0.003963964,0.066153899
229,0.003964798,0.066167825
230,0.004329123,0.071107081
231,0.004329579,0.071114565
232,0.004174276,0.078667143
233,0.004174715,0.078675423
234,0.004019785,0.082901154
235,0.004020209,0.082909879
236,0.004123979,0.088725578
237,0.004124413,0.088734916
238,0.004645462,0.096014604
239,0.004645951,0.096024709
240,0.004541397,0.099085081
241,0.004541875,0.099095509
242,0.004179551,0.10811338
243,0.00418043,0.108136139
244,0.00324484,0.110763409
245,0.003245181,0.110775067
246,0.00360983,0.118490688
247,0.00361021,0.118503159
248,0.003351044,0.123762637
249,0.003351396,0.123775662
250,0.004496192,0.131496707
251,0.004496665,0.131510547
252,0.003925538,0.13823032
253,0.003925951,0.138244868
254,0.004342356,0.144225363
255,0.004342813,0.144240542
256,0.003927605,0.147473155
257,0.003928018,0.147488676
258,0.003772147,0.154492395
259,0.003772544,0.154508655
260,0.003929258,0.16034964
261,0.003930085,0.160383394
262,0.003877828,0.164770196
263,0.003878236,0.164787537
264,0.004138762,0.169175722
265,0.004139633,0.169211335
266,0.003670721,0.17651618
267,0.003671108,0.176534758
268,0.005079832,0.18092648
269,0.005080902,0.180964566
270,0.004351506,0.182441786
271,0.004351964,0.182460987
272,0.003256471,0.186855635
273,0.003256814,0.186875301
274,0.004040568,0.186914639
275,0.004040994,0.186934311
276,0.004562476,0.19425023
277,0.004562956,0.194270675
278,0.003729303,0.197230989
